#Horizon flight at 1000psi,,,
#10th August 2024,,,
time,altitude f,speed,speed averaged
s,feet,f/s,f/s
30.5,4981,-60,-20
30.55,4981,0,-40
30.6,4978,-60,-26.66666667
30.65,4977,-20,-33.33333333
30.7,4976,-20,-13.33333333
30.75,4976,0,-26.66666667
30.8,4973,-60,-20
30.85,4973,0,-40
30.9,4970,-60,-26.66666667
30.95,4969,-20,-20
31,4970,20,-20
31.05,4967,-60,-33.33333333
31.1,4964,-60,-40
31.15,4964,0,-33.33333333
31.2,4962,-40,-33.33333333
31.25,4959,-60,-20
31.3,4961,40,-6.666666667
31.35,4961,0,-6.666666667
31.4,4958,-60,-20
31.45,4958,0,-46.66666667
31.5,4954,-80,-33.33333333
31.55,4953,-20,-40
31.6,4952,-20,-20
31.65,4951,-20,-20
31.7,4950,-20,-26.66666667
31.75,4948,-40,-20
31.8,4948,0,-20
31.85,4947,-20,-20
31.9,4945,-40,-26.66666667
31.95,4944,-20,-20
32,4944,0,-13.33333333
32.05,4943,-20,-33.33333333
32.1,4939,-80,-26.66666667
32.15,4940,20,-53.33333333
32.2,4935,-100,-20
32.25,4936,20,-40
32.3,4934,-40,-13.33333333
32.35,4933,-20,-20
32.4,4933,0,-6.666666667
32.45,4933,0,-20
32.5,4930,-60,-33.33333333
32.55,4928,-40,-26.66666667
32.6,4929,20,-33.33333333
32.65,4925,-80,-20
32.7,4925,0,-40
32.75,4923,-40,-13.33333333
32.8,4923,0,-26.66666667
32.85,4921,-40,-20
32.9,4920,-20,-26.66666667
32.95,4919,-20,-20
33,4918,-20,-26.66666667
33.05,4916,-40,-33.33333333
33.1,4914,-40,-26.66666667
33.15,4914,0,-20
33.2,4913,-20,-26.66666667
33.25,4910,-60,-26.66666667
33.3,4910,0,-40
33.35,4907,-60,-26.66666667
33.4,4906,-20,-26.66666667
33.45,4906,0,-26.66666667
33.5,4903,-60,-13.33333333
33.55,4904,20,-26.66666667
33.6,4902,-40,-20
33.65,4900,-40,-33.33333333
33.7,4899,-20,-33.33333333
33.75,4897,-40,-26.66666667
33.8,4896,-20,-33.33333333
33.85,4894,-40,-20
33.9,4894,0,-26.66666667
33.95,4892,-40,-20
34,4891,-20,-33.33333333
34.05,4889,-40,-33.33333333
34.1,4887,-40,-40
34.15,4885,-40,-20
34.2,4886,20,-20
34.25,4884,-40,-13.33333333
34.3,4883,-20,-33.33333333
34.35,4881,-40,-13.33333333
34.4,4882,20,-26.66666667
34.45,4879,-60,-26.66666667
34.5,4877,-40,-33.33333333
34.55,4877,0,-20
34.6,4876,-20,-26.66666667
34.65,4873,-60,-33.33333333
34.7,4872,-20,-26.66666667
34.75,4872,0,-6.666666667
34.8,4872,0,0
34.85,4872,0,-13.33333333
34.9,4870,-40,-20
34.95,4869,-20,-20
