#Horizon flight at 1000psi - Booster Pod A
#10th August 2024
time,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
s,feet,f/s,feet,f/s,e,e,e,e,e,e
12.5,1105,-10,1186.38,-40.69,0,0,0,0,0,0
13,1104,-2,1169.9,-32.95,0,0,0,0,0,0
13.5,1082,-44,1152.32,-35.16,0,0,0,0,0,0
14,1070,-24,1135.86,-32.93,0,0,0,0,0,0
14.5,1066,-8,1121.89,-27.94,0,0,0,0,0,0
15,1053,-26,1108.11,-27.55,0,0,0,0,0,0
15.5,1047,-12,1095.89,-24.44,0,0,0,0,0,0
16,1040,-14,1084.71,-22.35,0,0,0,0,0,0
16.5,1034,-12,1074.57,-20.28,0,0,0,0,0,0
17,1025,-18,1064.65,-19.83,0,0,0,0,0,0
17.5,1014,-22,1054.52,-20.26,0,0,0,0,0,0
18,1005,-18,1044.62,-19.81,0,0,0,0,0,0
18.5,993,-24,1034.3,-20.65,0,0,0,0,0,0
19,983,-20,1024.04,-20.52,0,0,0,0,0,0
19.5,971,-24,1013.43,-21.21,0,0,0,0,0,0
20,959,-24,1002.54,-21.77,0,0,0,0,0,0
20.5,949,-20,991.83,-21.42,0,0,0,0,0,0
21,939,-20,981.27,-21.13,0,0,0,0,0,0
21.5,929,-20,970.81,-20.91,0,0,0,0,0,0
22,922,-14,961.05,-19.53,0,0,0,0,0,0
22.5,915,-14,951.84,-18.42,0,0,0,0,0,0
23,906,-18,942.67,-18.34,0,0,0,0,0,0
23.5,899,-14,933.94,-17.47,0,0,0,0,0,0
24,890,-18,925.15,-17.58,0,0,0,0,0,0
24.5,881,-18,916.32,-17.66,0,0,0,0,0,0
25,870,-22,907.06,-18.53,0,0,0,0,0,0
25.5,858,-24,897.25,-19.62,0,0,0,0,0,0
26,848,-20,887.4,-19.7,0,0,0,0,0,0
26.5,837,-22,877.32,-20.16,0,0,0,0,0,0
27,824,-26,866.65,-21.33,0,0,0,0,0,0
27.5,814,-20,856.12,-21.06,0,0,0,0,0,0
28,802,-24,845.3,-21.65,0,0,0,0,0,0
28.5,790,-24,834.24,-22.12,0,0,0,0,0,0
29,780,-20,823.39,-21.7,0,0,0,0,0,0
29.5,768,-24,812.31,-22.16,0,0,0,0,0,0
30,758,-20,801.45,-21.73,0,0,0,0,0,0
30.5,747,-22,790.56,-21.78,0,0,0,0,0,0
31,735,-24,779.45,-22.22,0,0,0,0,0,0
31.5,722,-26,767.96,-22.98,0,0,0,0,0,0
32,710,-24,756.37,-23.18,0,0,0,0,0,0
32.5,699,-22,744.89,-22.95,0,0,0,0,0,0
33,686,-26,733.11,-23.56,0,0,0,0,0,0
33.5,673,-26,721.09,-24.05,0,0,0,0,0,0
34,661,-24,709.07,-24.04,0,0,0,0,0,0
34.5,649,-24,697.06,-24.03,0,0,0,0,0,0
35,638,-22,685.25,-23.62,0,0,0,0,0,0
35.5,626,-24,673.4,-23.7,0,0,0,0,0,0
36,616,-20,661.92,-22.96,0,0,0,0,0,0
36.5,606,-20,650.73,-22.37,0,0,0,0,0,0
37,595,-22,639.59,-22.29,0,0,0,0,0,0
37.5,584,-22,628.47,-22.23,0,0,0,0,0,0
38,573,-22,617.38,-22.19,0,0,0,0,0,0
38.5,561,-24,606.1,-22.55,0,0,0,0,0,0
39,552,-18,595.28,-21.64,0,0,0,0,0,0
39.5,540,-24,584.22,-22.11,0,0,0,0,0,0
40,528,-24,572.98,-22.49,0,0,0,0,0,0
40.5,519,-18,562.18,-21.59,0,0,0,0,0,0
41,508,-22,551.35,-21.67,0,0,0,0,0,0
41.5,496,-24,540.28,-22.14,0,0,0,0,0,0
42,485,-22,529.22,-22.11,0,0,0,0,0,0
42.5,472,-26,517.78,-22.89,0,0,0,0,0,0
43,459,-26,506.02,-23.51,0,0,0,0,0,0
43.5,446,-26,494.02,-24.01,0,0,0,0,0,0
44,433,-26,481.81,-24.41,0,0,0,0,0,0
44.5,422,-22,469.85,-23.93,0,0,0,0,0,0
45,410,-24,457.88,-23.94,0,0,0,0,0,0
45.5,397,-26,445.7,-24.35,0,0,0,0,0,0
46,380,-34,432.56,-26.28,0,0,0,0,0,0
46.5,369,-22,419.85,-25.43,0,0,0,0,0,0
47,356,-26,407.08,-25.54,0,0,0,0,0,0
47.5,347,-18,395.06,-24.03,0,0,0,0,0,0
48,334,-26,382.85,-24.43,0,0,0,0,0,0
48.5,327,-14,371.68,-22.34,0,0,0,0,0,0
49,313,-28,359.95,-23.47,0,0,0,0,0,0
49.5,306,-14,349.16,-21.58,0,0,0,0,0,0
50,297,-18,338.72,-20.86,0,0,0,0,0,0
50.5,287,-20,328.38,-20.69,0,0,0,0,0,0
51,279,-16,318.5,-19.75,0,0,0,0,0,0
51.5,272,-14,309.2,-18.6,0,0,0,0,0,0
52,265,-14,300.36,-17.68,0,0,0,0,0,0
52.5,255,-20,291.29,-18.15,0,0,0,0,0,0
53,251,-8,283.23,-16.12,0,0,0,0,0,0
53.5,246,-10,275.79,-14.89,0,0,0,0,0,0
54,242,-8,269.03,-13.51,0,0,0,0,0,0
54.5,236,-12,262.42,-13.21,0,0,0,0,0,0
55,231,-10,256.14,-12.57,0,0,0,0,0,0
55.5,224,-14,249.71,-12.86,0,0,0,0,0,0
56,219,-10,243.57,-12.28,0,0,0,0,0,0
56.5,208,-22,236.45,-14.23,0,0,0,0,0,0
57,201,-14,229.36,-14.18,0,0,0,0,0,0
57.5,193,-16,222.09,-14.55,0,0,0,0,0,0
58,188,-10,215.27,-13.64,0,0,0,0,0,0
58.5,172,-32,206.62,-17.31,0,0,0,0,0,0
59,163,-18,197.89,-17.45,0,0,0,0,0,0
59.5,156,-14,189.52,-16.76,0,0,0,0,0,0
60,147,-18,181.01,-17.01,0,0,0,0,0,0
60.5,139,-16,172.61,-16.81,0,0,0,0,0,0
61,131,-16,164.29,-16.64,0,0,0,0,0,0
61.5,121,-20,155.63,-17.32,0,0,0,0,0,0
62,114,-14,147.3,-16.65,0,0,0,0,0,0
62.5,105,-18,138.84,-16.92,0,0,0,0,0,0
63,100,-10,131.07,-15.54,0,0,0,0,0,0
63.5,93,-14,123.46,-15.23,0,0,0,0,0,0
64,85,-16,115.77,-15.38,0,0,0,0,0,0
64.5,77,-16,108.01,-15.51,0,0,0,0,0,0
65,70,-14,100.41,-15.21,0,0,0,0,0,0
65.5,62,-16,92.73,-15.36,0,0,0,0,0,0
66,51,-22,84.38,-16.69,0,0,0,0,0,0
66.5,46,-10,76.71,-15.35,0,0,0,0,0,0
67,38,-16,68.97,-15.48,0,0,0,0,0,0
67.5,30,-16,61.17,-15.59,0,0,0,0,0,0
68,27,-6,54.34,-13.67,0,0,0,0,0,0
68.5,19,-16,47.27,-14.14,0,0,0,0,0,0
69,10,-18,39.82,-14.91,0,0,0,0,0,0
69.5,5,-10,32.85,-13.93,0,0,0,0,0,0
