T,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
34.00,661.00,-24.00,709.07,-24.04,0,0,0,0,0,0
34.50,649.00,-24.00,697.06,-24.03,0,0,0,0,0,0
35.00,638.00,-22.00,685.25,-23.62,0,0,0,0,0,0
35.50,626.00,-24.00,673.40,-23.70,0,0,0,0,0,0
36.00,616.00,-20.00,661.92,-22.96,0,0,0,0,0,0
36.50,606.00,-20.00,650.73,-22.37,0,0,0,0,0,0
37.00,595.00,-22.00,639.59,-22.29,0,0,0,0,0,0
37.50,584.00,-22.00,628.47,-22.23,0,0,0,0,0,0
38.00,573.00,-22.00,617.38,-22.19,0,0,0,0,0,0
38.50,561.00,-24.00,606.10,-22.55,0,0,0,0,0,0
39.00,552.00,-18.00,595.28,-21.64,0,0,0,0,0,0
39.50,540.00,-24.00,584.22,-22.11,0,0,0,0,0,0
40.00,528.00,-24.00,572.98,-22.49,0,0,0,0,0,0
40.50,519.00,-18.00,562.18,-21.59,0,0,0,0,0,0
41.00,508.00,-22.00,551.35,-21.67,0,0,0,0,0,0
41.50,496.00,-24.00,540.28,-22.14,0,0,0,0,0,0
42.00,485.00,-22.00,529.22,-22.11,0,0,0,0,0,0
42.50,472.00,-26.00,517.78,-22.89,0,0,0,0,0,0
43.00,459.00,-26.00,506.02,-23.51,0,0,0,0,0,0
43.50,446.00,-26.00,494.02,-24.01,0,0,0,0,0,0
44.00,433.00,-26.00,481.81,-24.41,0,0,0,0,0,0
44.50,422.00,-22.00,469.85,-23.93,0,0,0,0,0,0
45.00,410.00,-24.00,457.88,-23.94,0,0,0,0,0,0
45.50,397.00,-26.00,445.70,-24.35,0,0,0,0,0,0
46.00,380.00,-34.00,432.56,-26.28,0,0,0,0,0,0
46.50,369.00,-22.00,419.85,-25.43,0,0,0,0,0,0
47.00,356.00,-26.00,407.08,-25.54,0,0,0,0,0,0
47.50,347.00,-18.00,395.06,-24.03,0,0,0,0,0,0
48.00,334.00,-26.00,382.85,-24.43,0,0,0,0,0,0
48.50,327.00,-14.00,371.68,-22.34,0,0,0,0,0,0
49.00,313.00,-28.00,359.95,-23.47,0,0,0,0,0,0
49.50,306.00,-14.00,349.16,-21.58,0,0,0,0,0,0
50.00,297.00,-18.00,338.72,-20.86,0,0,0,0,0,0
50.50,287.00,-20.00,328.38,-20.69,0,0,0,0,0,0
51.00,279.00,-16.00,318.50,-19.75,0,0,0,0,0,0
51.50,272.00,-14.00,309.20,-18.60,0,0,0,0,0,0
52.00,265.00,-14.00,300.36,-17.68,0,0,0,0,0,0
52.50,255.00,-20.00,291.29,-18.15,0,0,0,0,0,0
53.00,251.00,-8.00,283.23,-16.12,0,0,0,0,0,0
53.50,246.00,-10.00,275.79,-14.89,0,0,0,0,0,0
54.00,242.00,-8.00,269.03,-13.51,0,0,0,0,0,0
54.50,236.00,-12.00,262.42,-13.21,0,0,0,0,0,0
55.00,231.00,-10.00,256.14,-12.57,0,0,0,0,0,0
55.50,224.00,-14.00,249.71,-12.86,0,0,0,0,0,0
56.00,219.00,-10.00,243.57,-12.28,0,0,0,0,0,0
56.50,208.00,-22.00,236.45,-14.23,0,0,0,0,0,0
57.00,201.00,-14.00,229.36,-14.18,0,0,0,0,0,0
57.50,193.00,-16.00,222.09,-14.55,0,0,0,0,0,0
58.00,188.00,-10.00,215.27,-13.64,0,0,0,0,0,0
58.50,172.00,-32.00,206.62,-17.31,0,0,0,0,0,0
59.00,163.00,-18.00,197.89,-17.45,0,0,0,0,0,0
59.50,156.00,-14.00,189.52,-16.76,0,0,0,0,0,0
60.00,147.00,-18.00,181.01,-17.01,0,0,0,0,0,0
60.50,139.00,-16.00,172.61,-16.81,0,0,0,0,0,0
61.00,131.00,-16.00,164.29,-16.64,0,0,0,0,0,0
61.50,121.00,-20.00,155.63,-17.32,0,0,0,0,0,0
62.00,114.00,-14.00,147.30,-16.65,0,0,0,0,0,0
62.50,105.00,-18.00,138.84,-16.92,0,0,0,0,0,0
63.00,100.00,-10.00,131.07,-15.54,0,0,0,0,0,0
63.50,93.00,-14.00,123.46,-15.23,0,0,0,0,0,0
64.00,85.00,-16.00,115.77,-15.38,0,0,0,0,0,0
64.50,77.00,-16.00,108.01,-15.51,0,0,0,0,0,0
65.00,70.00,-14.00,100.41,-15.21,0,0,0,0,0,0
65.50,62.00,-16.00,92.73,-15.36,0,0,0,0,0,0
66.00,51.00,-22.00,84.38,-16.69,0,0,0,0,0,0
66.50,46.00,-10.00,76.71,-15.35,0,0,0,0,0,0
67.00,38.00,-16.00,68.97,-15.48,0,0,0,0,0,0
67.50,30.00,-16.00,61.17,-15.59,0,0,0,0,0,0
68.00,27.00,-6.00,54.34,-13.67,0,0,0,0,0,0
68.50,19.00,-16.00,47.27,-14.14,0,0,0,0,0,0
69.00,10.00,-18.00,39.82,-14.91,0,0,0,0,0,0
69.50,5.00,-10.00,32.85,-13.93,0,0,0,0,0,0
